name,psgcCode
50th District,1004210051
A-et,0802622001
A. Beltran,1600205003
A. Bonifacio,0304915001
A. Bonifacio,0506203001
A. Bonifacio,0803735001
A. Bonifacio-Caguioa-Rimando,1430300125
A. Dalusag,0402107001
A. Mabini,0405618001
A. O. Floirendo,1102315001
A. Pascual,0304926001
A. Rivera,0300805001
Ab-abut,0102818001
Ababa-an,1403201001
Abaca,0102804001
Abaca,0205008001
Abaca,0504105001
Abaca,0600607001
Abaca,0603039001
Abaca,1804507001
Abaca,0701231001
Abaca,0803717001
Abaccan,0102929001
Abachanan,0701240001
Abad Santos,0506203002
Abad Santos,0701231002
Abad Santos,1606721001
Abaga,1003502001
Abaga,1003509001
Abaga,1003515001
Abaga,1204705001
Abaga,1903603001
Abaga,1903613001
Abagao,0201510001
Abagao,0201516001
Abagat,1705302007
Abagon,0306906001
Abanao-Zandueta-Kayong-Chugum-Otek,1430300129
Abang,1400103001
Abang,0405623001
Abang-abang,0603002001
Abangan Norte,0301411001
Abangan Sur,0301411002
Abangay,0601917001
Abangay,0603016001
Abangay,0603023001
Abangay,0603037001
Abango,0803706001
Abanilla,0803713001
Abanon,0105532001
Abanqueruan,0201518001
Abante,1804616001
Abaquid,1400106001
Abar 2nd,0304926003
Abar Ist,0304926002
Abariongan Ruar,0201526001
Abariongan Uneg,0201526002
Abaroan,1705318001
Abas,0506213001
Abat,0603031001
Abatan,1401105001
Abatan,1402702001
Abatan,1404402001
Abaton,0804808001
Abay,0603029001
Abaya,0102909001
Abbag,0205704001
Abbeg,0201502001
Abdullah Buisan,1903618001
Abehilan,0701237002
Abejao,0802619001
Abella,0500508001
Abella,0501724001
Abelo,0401025001
Aberawan,1705312018
Abeto Mirasol Taft South,0631000178
Abgao,0806407001
Abgao,0806409001
Abiacao,0401024001
Abian,0205004001
Abiang,1401101001
Abiawin,0405620001
Abiera,0600615001
Abihao,0502002001
Abihid,0701220001
Abihilan,0701211001
Abijao,0803751001
Abijilan,0701222001
Abijod,1102505001
Abilan,1600201001
Abilay,0603029002
Abilay Norte,0603034001
Abilay Sur,0603034002
Abinganan,0205004002
Abinuan,1402704001
Abis,1804614001
Abkir,0102823001
Ablan Pob.,0102805023
Ablan Sarat,0102806001
Ablang-Sapang,0306909001
Ablayan,0702222001
Ableg,1400105001
Ableg,1403208001
Abnate,1102406001
Abo,0403417001
Abo,0501736001
Abo-abo,0405627001
Abo-abo,1705324001
Abo-abo,1804520001
Abogado,0306910001
Abolo,0201504001
Abonagan,0105524001
Abong,0603014001
Abong-abong,0907327001
Abong-Abong,1900704001
Abongan,1705320001
Abot Molina,0105544001
Abra,0201513001
Abra,0203135001
Abre,0803717002
Abualan,1400122001
Abuanan,1804502001
Abucay,0102818002
Abucay,0506213002
Abucay,0802622018
Abucay Norte,0701241001
Abucay Sur,0701241002
Abucayan,0501715001
Abucayan,0702208001
Abucayan Norte,0701210001
Abucayan Sur,0701210002
Abugon,0702246001
Abulalas,0301409001
Abulan,0203115001
Abuleg,0307704001
Abunda,0908307001
Abunda,1004317001
Abung,0401023001
Abuno,1030900001
Abuor,0102914001
Abut,0103314001
Abut,0203122001
Abuyo,0205015001
Abuyog,0506216001
Abuyogay,0803724001
Abuyogon,0803710001
Abuyon,0405644001
Acaban,0807805001
Acacia,1380400001
Acacia,0205010001
Acacia,0402118049
Acacia,0804805062
Acacia,1130700001
Acad,0907302001
Acao,0103307001
Acao,0603012001
Acasia,0806407065
Acbo,0601916001
Accusilian,0201528001
Acedillo,0804823001
Acedillo,0806003002
Acerida,0804803001
Acevida,0403429001
Achasol,0908315001
Achila,0701246001
Aciga,1403209001
Aclan,1600209001
Acle,0401034001
