postalCode,placeName,provinceName,regionName,municipalityCode
0400,International Correspondence School,,,
0401,Asian Development Bank,,,
0410,Radio Bible Class,,,
0420,Bible School on the Air,,,
0550,Febias College of Bible,,,
0560,Far East Broadcasting Corporation,,,
0800,Social Security System,,,
0801,Camp Crame,,,
0802,Camp Aguinaldo,,,
0810,Araneta Center,,,
0820,Bureau of Internal Revenue,,,
0830,National Irrigation Administration,,,
0840,V. Luna Hospital,,,
0850,Philippine Heart Center,,,
0860,Quezon City Hall,,,
0870,Veterans Hospital,,,
0880,Commission on Audit,,,
0900,Manila Bulletin,,,
0901,Adventist University of the Philippines,,,
0902,Far East Broadcasting Corporation,,,
0903,Manila Hilton,,,
0904,Midland Hotel,,,
0905,Bacacay,,,0500501000
0905,The Philippine Star,,,
0906,Manila Medical Center,,,
0907,San Miguel Corporation,,,
0908,Pan-Filipino Shipping,,,
0909,Summer Institute of Linguistics,,,
0910,Department of Labor and Employment,,,
0911,National Statistics Office,,,
0912,Bureau of Plant Industry,,,
0913,Manila Hotel,,,
0914,Philippine Refining Company,,,
0915,International Correspondence Institute,,,
0916,Radio Veritas,,,
0917,Ateneo de Manila University,,,
0918,Fil-Japan Shipping Company,,,
0919,Manila Police District,,,
0920,Sunbursts Publications,,,
0921,Philippine Plaza Hotel,,,
0922,De La Salle University,,,
0923,Don Stewart Evangelistic Association,,,
0924,World Map,,,
0925,Chinabank,,,
0926,Caltex,,,
0927,Philippine Veterans Affairs Office,,,
0928,Philippine Campus Crusade,,,
0929,Not used,,,
0930,United States Embassy,,,
0940,Philippine National Bank,,,
0950,Manila Midtown Hotel,,,
0960,International Rice Research Institute,,,
0970,Department of Justice,,,
0980,Asian Development Bank,,,
0990,Philamlife,,,
1000,Manila City,Capital District,Metro Manila,1380600000
1000,Manila CPO - Ermita,Capital District,Metro Manila,
1001,Quiapo,Capital District,Metro Manila,
1001,Quiapo,Capital District,Metro Manila,1380603000
1002,Intramuros,Capital District,Metro Manila,
1002,Intramuros,Capital District,Metro Manila,1380609000
1003,Santa Cruz,Capital District,Metro Manila,1380605000
