name,psgcCode
Abra,1400100000
Agusan del Norte,1600200000
Agusan del Sur,1600300000
Aklan,0600400000
Albay,0500500000
Antique,0600600000
Apayao,1408100000
Aurora,0307700000
Basilan,1900700000
Bataan,0300800000
Batanes,0200900000
Batangas,0401000000
Benguet,1401100000
Biliran,0807800000
Bohol,0701200000
Bukidnon,1001300000
Bulacan,0301400000
Cagayan,0201500000
Camarines Norte,0501600000
Camarines Sur,0501700000
Camiguin,1001800000
Capiz,0601900000
Catanduanes,0502000000
Cavite,0402100000
Cebu,0702200000
Cotabato,1204700000
Davao de Oro,1108200000
Davao del Norte,1102300000
Davao del Sur,1102400000
Davao Occidental,1108600000
Davao Oriental,1102500000
Dinagat Islands,1608500000
Eastern Samar,0802600000
Guimaras,0607900000
Ifugao,1402700000
Ilocos Norte,0102800000
Ilocos Sur,0102900000
Iloilo,0603000000
Isabela,0203100000
Kalinga,1403200000
La Union,0103300000
Laguna,0403400000
Lanao del Norte,1003500000
Lanao del Sur,1903600000
Leyte,0803700000
Maguindanao del Norte,1908700000
Maguindanao del Sur,1908800000
Marinduque,1704000000
Masbate,0504100000
Misamis Occidental,1004200000
Misamis Oriental,1004300000
Mountain Province,1404400000
Negros Occidental,1804500000
Negros Oriental,1804600000
Northern Samar,0804800000
Nueva Ecija,0304900000
Nueva Vizcaya,0205000000
Occidental Mindoro,1705100000
Oriental Mindoro,1705200000
Palawan,1705300000
Pampanga,0305400000
Pangasinan,0105500000
Quezon,0405600000
Quirino,0205700000
Rizal,0405800000
Romblon,1705900000
Samar,0806000000
Sarangani,1208000000
Siquijor,1806100000
Sorsogon,0506200000
South Cotabato,1206300000
Southern Leyte,0806400000
Sultan Kudarat,1206500000
Sulu,0906600000
Surigao del Norte,1606700000
Surigao del Sur,1606800000
Tarlac,0306900000
Tawi-Tawi,1907000000
Zambales,0307100000
Zamboanga del Norte,0907200000
Zamboanga del Sur,0907300000
Zamboanga Sibugay,0908300000
